Date,Commodity,Price,Unit,Source,Retrieved_At
2026-08-21,Potash (MOP),517.39,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-04,Urea,857.21,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-04,UAN 28%,547.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-04,UAN 32%,707.91,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-04,Anhydrous Ammonia,892.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-04,DAP,938.97,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-04,MAP,1086.82,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-04,Potash (MOP),610.57,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-04,Ammonium Sulfate (AMS),727.5,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-18,Urea,907.8,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-18,UAN 28%,600.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-18,UAN 32%,598.53,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-18,Anhydrous Ammonia,768.0,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-18,DAP,956.83,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-18,MAP,1092.84,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-18,Potash (MOP),582.04,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
2026-09-18,Ammonium Sulfate (AMS),770.2,USD/short ton,FertilizerPrice.com weekly report,2026-09-21
